Nom de la commune,Populationtotal,Population_string
Saint-Jean-de-Vaux,420,420
Saint-Julien-de-Civry,501,501
Saint-Julien-de-Jonzy,352,352
Saint-Julien-sur-Dheune,241,241
Saint-Laurent-d'Andenay,1034,1034
Saint-Laurent-en-Brionnais,337,337
Saint-Léger-du-Bois,547,547
Saint-Léger-lès-Paray,750,750
Saint-Léger-sous-Beuvray,390,390
Saint-Léger-sous-la-Bussière,275,275
Saint-Léger-sur-Dheune,1587,1587
Saint-Loup-de-Varennes,1189,1189
Saint-Loup-Géanges,1676,1676
Saint-Marcel,6222,6222
Saint-Marcelin-de-Cray,192,192
Saint-Mard-de-Vaux,288,288
Saint-Martin-Belle-Roche,1418,1418
Saint-Martin-d'Auxy,117,117
Saint-Martin-de-Commune,112,112
Saint-Martin-de-Lixy,92,92
Saint-Martin-de-Salencey,100,100
Saint-Martin-du-Lac,253,253
Saint-Martin-du-Mont,206,206
Saint-Martin-du-Tartre,163,163
Saint-Martin-en-Bresse,1998,1998
Saint-Martin-en-Gâtinois,124,124
Saint-Martin-la-Patrouille,62,62
Saint-Martin-sous-Montaigu,370,370
Saint-Maurice-de-Satonnay,509,509
Saint-Maurice-des-Champs,63,63
Saint-Maurice-en-Rivière,565,565
Saint-Maurice-lès-Châteauneuf,581,581
Saint-Maurice-lès-Couches,199,199
Saint-Micaud,283,283
Saint-Nizier-sur-Arroux,129,129
Saint-Pierre-de-Varennes,865,865
Saint-Pierre-le-Vieux,365,365
Saint-Point,342,342
Saint-Privé,83,83
Saint-Prix,227,227
Saint-Racho,172,172
Saint-Rémy,6796,6796
Saint-Romain-sous-Gourdon,488,488
Saint-Romain-sous-Versigny,87,87
Saint-Sernin-du-Bois,1849,1849
Saint-Sernin-du-Plain,594,594
Saint-Symphorien-d'Ancelles,1204,1204
Saint-Symphorien-de-Marmagne,857,857
Saint-Symphorien-des-Bois,450,450
Saint-Usuge,1364,1364
Saint-Vallerin,276,276
Saint-Vallier,8831,8831
Saint-Vérand,167,167
Saint-Vincent-Bragny,1014,1014
Saint-Vincent-des-Prés,112,112
Saint-Vincent-en-Bresse,582,582
Saint-Yan,1193,1193
Saint-Ythaire,128,128
Sainte-Cécile,296,296
Sainte-Croix,649,649
Sainte-Foy,141,141
Sainte-Hélène,533,533
Sainte-Radegonde,156,156
Saisy,346,346
La Salle,556,556
Salornay-sur-Guye,876,876
Sampigny-lès-Maranges,153,153
Sancé,2083,2083
Santilly,139,139
Sanvignes-les-Mines,4402,4402
Sarry,107,107
Sassangy,150,150
Sassenay,1631,1631
Saules,131,131
Saunières,83,83
Savianges,74,74
Savigny-en-Revermont,1173,1173
Savigny-sur-Grosne,171,171
Savigny-sur-Seille,432,432
Semur-en-Brionnais,642,642
Sennecey-le-Grand,3200,3200
Senozan,1141,1141
Sens-sur-Seille,416,416
Sercy,104,104
Serley,615,615
Sermesse,240,240
Serrières,284,284
Serrigny-en-Bresse,204,204
Sevrey,1251,1251
Sigy-le-Châtel,105,105
Simandre,1749,1749
Simard,1220,1220
Sivignon,172,172
Sologny,602,602
Solutré-Pouilly,365,365
Sommant,215,215
Sornay,2074,2074
Suin,273,273
Sully,514,514
La Tagnière,231,231
Taizé,181,181
Tancon,559,559
Le Tartre,115,115
Tavernay,506,506
Thil-sur-Arroux,133,133
Thurey,461,461
Tintry,80,80
Torcy,3000,3000
Torpes,376,376
Toulon-sur-Arroux,1624,1624
Tournus,5885,5885
Toutenant,195,195
Tramayes,1076,1076
Trambly,409,409
Trivy,279,279
Tronchy,258,258
La Truchère,228,228
Uchizy,857,857
Uchon,103,103
Uxeau,534,534
Vareilles,273,273
Varenne-l'Arconce,120,120
Varenne-Saint-Germain,731,731
Varennes-le-Grand,2346,2346
Varennes-lès-Mâcon,556,556
Varennes-Saint-Sauveur,1159,1159
Varennes-sous-Dun,588,588
Vauban,232,232
Vaudebarrier,254,254
Vaux-en-Pré,80,80
Vendenesse-lès-Charolles,763,763
Vendenesse-sur-Arroux,597,597
Verdun-sur-le-Doubs,1091,1091
Vergisson,262,262
Vérissey,55,55
Verjux,540,540
Verosvres,507,507
Vers,237,237
Versaugues,207,207
Verzé,813,813
Le Villars,289,289
Villegaudin,216,216
Villeneuve-en-Montagne,163,163
Vincelles,434,434
Vindecy,259,259
La Vineuse sur Fregande,673,673
Vinzelles,723,723
Viré,1208,1208
Virey-le-Grand,1415,1415
Viry,259,259
Vitry-en-Charollais,1122,1122
Vitry-sur-Loire,439,439
Volesvres,631,631
Aigné,1695,1695
Aillières-Beauvoir,223,223
Allonnes,11206,11206
Amné,569,569
Ancinnes,970,970
Ardenay-sur-Mérize,491,491
Arnage,5432,5432
Arthezé,401,401
Arçonnay,2073,2073
Asnières-sur-Vègre,417,417
Assé-le-Boisne,930,930
Assé-le-Riboul,528,528
Aubigné-Racan,2148,2148
Les Aulneaux,117,117
Auvers-le-Hamon,1509,1509
Auvers-sous-Montfaucon,247,247
Avesnes-en-Saosnois,90,90
Avessé,386,386
Avezé,745,745
Avoise,619,619
Le Bailleul,1251,1251
Ballon-Saint Mars,2262,2262
La Bazoge,3700,3700
Bazouges Cré sur Loir,2105,2105
Beaufay,1506,1506
Beaumont-Pied-de-Bœuf,501,501
Beaumont-sur-Dême,339,339
Beaumont-sur-Sarthe,1986,1986
Beillé,531,531
Berfay,340,340
Bernay-Neuvy-en-Champagne,920,920
Bérus,459,459
Bessé-sur-Braye,2248,2248
Béthon,331,331
Blèves,106,106
Boëssé-le-Sec,645,645
Bonnétable,3915,3915
La Bosse,137,137
Bouër,335,335
Bouloire,2118,2118
Bourg-le-Roi,328,328
Bousse,448,448
Brains-sur-Gée,833,833
Le Breil-sur-Mérize,1569,1569
Brette-les-Pins,2268,2268
Briosne-lès-Sables,546,546
La Bruère-sur-Loir,246,246
Brûlon,1611,1611
Cérans-Foulletourte,3410,3410
Chahaignes,706,706
Challes,1235,1235
Champagné,3947,3947
Champfleur,1382,1382
Champrond,73,73
Changé,6713,6713
Chantenay-Villedieu,883,883
La Chapelle-aux-Choux,269,269
La Chapelle-d'Aligné,1719,1719
La Chapelle-du-Bois,893,893
La Chapelle-Huon,562,562
La Chapelle-Saint-Aubin,2427,2427
La Chapelle-Saint-Fray,448,448
La Chapelle-Saint-Rémy,991,991
La Chartre-sur-le-Loir,1442,1442
Chassillé,246,246
Château-l'Hermitage,256,256
Chaufour-Notre-Dame,1089,1089
Chemiré-en-Charnie,215,215
Chemiré-le-Gaudin,1005,1005
Chenay,233,233
Chenu,435,435
Chérancé,363,363
Chérisay,312,312
Cherré-Au,2777,2777
Chevillé,416,416
Clermont-Créans,1299,1299
Cogners,190,190
Commerveil,139,139
Conflans-sur-Anille,527,527
Congé-sur-Orne,347,347
Conlie,1933,1933
Connerré,2960,2960
Contilly,141,141
Cormes,921,921
Coudrecieux,625,625
Coulaines,7548,7548
Coulans-sur-Gée,1731,1731
Coulongé,525,525
Courcebœufs,645,645
Courcelles-la-Forêt,415,415
Courcemont,694,694
Courcival,97,97
Courdemanche,618,618
Courgains,593,593
Courgenard,500,500
Courtillers,949,949
Crannes-en-Champagne,358,358
Crissé,592,592
Crosmières,1065,1065
Cures,500,500
Dangeul,474,474
Degré,796,796
Dehault,276,276
Dissay-sous-Courcillon,956,956
Dollon,1517,1517
Domfront-en-Champagne,1052,1052
Doucelles,253,253
Douillet,339,339
Duneau,1066,1066
Dureil,71,71
Écommoy,4748,4748
Écorpain,305,305
Épineu-le-Chevreuil,304,304
Étival-lès-le-Mans,1975,1975
Fatines,861,861
Fay,681,681
Fercé-sur-Sarthe,601,601
La Ferté-Bernard,9155,9155
Fillé,1518,1518
La Flèche,15956,15956
Flée,553,553
La Fontaine-Saint-Martin,626,626
Fontenay-sur-Vègre,332,332
Fresnay-sur-Sarthe,3015,3015
Fyé,1036,1036
Gesnes-le-Gandelin,985,985
Le Grand-Lucé,1950,1950
Grandchamp,164,164
Gréez-sur-Roc,336,336
Le Grez,407,407
Guécélard,3071,3071
La Guierche,1126,1126
Jauzé,85,85
Joué-en-Charnie,659,659
Joué-l'Abbé,1302,1302
Juigné-sur-Sarthe,1173,1173
Juillé,487,487
Jupilles,578,578
Laigné-en-Belin,2383,2383
Lamnay,980,980
Lavardin,744,744
Lavaré,867,867
Lavernat,606,606
Lhomme,916,916
Ligron,513,513
Livet-en-Saosnois,70,70
Loir en Vallée,2348,2348
Lombron,1932,1932
Longnes,335,335
Louailles,737,737
Loué,2175,2175
Louplande,1486,1486
Louvigny,183,183
Louzes,102,102
Le Luart,1451,1451
Lucé-sous-Ballon,107,107
Luceau,1253,1253
Luché-Pringé,1577,1577
Le Lude,4328,4328
Maigné,357,357
Maisoncelles,194,194
Malicorne-sur-Sarthe,1938,1938
Mamers,5460,5460
Le Mans,145776,145776
Mansigné,1584,1584
Mareil-en-Champagne,388,388
Mareil-sur-Loir,673,673
Maresché,896,896
Marigné-Laillé,1659,1659
Marolles-les-Braults,2237,2237
Marolles-lès-Saint-Calais,280,280
Marollette,152,152
Marçon,1078,1078
Mayet,3175,3175
Les Mées,102,102
Melleray,439,439
Meurcé,272,272
Mézeray,1941,1941
Mézières-sous-Lavardin,700,700
Mézières-sur-Ponthouin,713,713
La Milesse,2683,2683
Moitron-sur-Sarthe,263,263
Moncé-en-Belin,3720,3720
Moncé-en-Saosnois,262,262
Monhoudou,215,215
Mont-Saint-Jean,657,657
Montaillé,555,555
Montbizot,1830,1830
Montfort-le-Gesnois,3021,3021
Montmirail,398,398
Montreuil-le-Chétif,302,302
Montreuil-le-Henri,312,312
Montval-sur-Loir,6373,6373
Moulins-le-Carbonnel,709,709
Mulsanne,5301,5301
Nauvay,13,13
Neufchâtel-en-Saosnois,1037,1037
Neuvillalais,602,602
Neuville-sur-Sarthe,2469,2469
Neuvillette-en-Charnie,296,296
Nogent-le-Bernard,951,951
Nogent-sur-Loir,383,383
Notre-Dame-du-Pé,644,644
Nouans,291,291
Noyen-sur-Sarthe,2644,2644
Nuillé-le-Jalais,548,548
Oisseau-le-Petit,675,675
Oizé,1340,1340
Panon,44,44
Parcé-sur-Sarthe,2151,2151
Parennes,515,515
Parigné-l'Évêque,5164,5164
Parigné-le-Pôlin,1137,1137
Peray,62,62
Pezé-le-Robert,381,381
Piacé,390,390
Pincé,201,201
Pirmil,521,521
Pizieux,74,74
Poillé-sur-Vègre,637,637
Pontvallain,1700,1700
Précigné,3037,3037
Préval,702,702
Prévelles,220,220
Pruillé-l'Éguillé,848,848
Pruillé-le-Chétif,1396,1396
La Quinte,790,790
Rahay,167,167
René,384,384
Requeil,1195,1195
Roézé-sur-Sarthe,2695,2695
Rouessé-Fontaine,281,281
Rouessé-Vassé,830,830
Rouez,779,779
Rouillon,2574,2574
Rouperroux-le-Coquet,296,296
Ruaudin,3485,3485
Ruillé-en-Champagne,334,334
Sablé-sur-Sarthe,12719,12719
Saint-Aignan,252,252
Saint-Aubin-de-Locquenay,706,706
Saint-Aubin-des-Coudrais,947,947
Saint-Biez-en-Belin,725,725
Saint-Calais,3431,3431
Saint-Calez-en-Saosnois,188,188
Saint-Célerin,920,920
Saint-Christophe-du-Jambet,237,237
Saint-Christophe-en-Champagne,215,215
Saint-Corneille,1445,1445
Saint-Cosme-en-Vairais,2021,2021
Saint-Denis-d'Orques,810,810
Saint-Denis-des-Coudrais,115,115
Saint-Georges-de-la-Couée,162,162
Saint-Georges-du-Bois,2157,2157
Saint-Georges-du-Rosay,438,438
Saint-Georges-le-Gaultier,536,536
Saint-Germain-d'Arcé,340,340
Saint-Gervais-de-Vic,402,402
Saint-Gervais-en-Belin,2120,2120
Saint-Jean-d'Assé,1774,1774
Saint-Jean-de-la-Motte,990,990
Saint-Jean-des-Échelles,261,261
Saint-Jean-du-Bois,634,634
Saint-Léonard-des-Bois,485,485
Saint-Longis,511,511
Saint-Maixent,759,759
Saint-Marceau,566,566
Saint-Mars-d'Outillé,2454,2454
Saint-Mars-de-Locquenay,580,580
Saint-Mars-la-Brière,2717,2717
Saint-Martin-des-Monts,183,183
Saint-Michel-de-Chavaignes,748,748
Saint-Ouen-de-Mimbré,1040,1040
Saint-Ouen-en-Belin,1326,1326
Saint-Ouen-en-Champagne,246,246
Saint-Paterne - Le Chevain,2329,2329
Saint-Paul-le-Gaultier,296,296
Saint-Pavace,1983,1983
Saint-Pierre-de-Chevillé,366,366
Saint-Pierre-des-Bois,238,238
Saint-Pierre-des-Ormes,232,232
Saint-Pierre-du-Lorouër,386,386
Saint-Rémy-de-Sillé,845,845
Saint-Rémy-des-Monts,706,706
Saint-Rémy-du-Val,529,529
Saint-Saturnin,2611,2611
Saint-Symphorien,574,574
Saint-Ulphace,229,229
Saint-Victeur,459,459
Saint-Vincent-des-Prés,516,516
Saint-Vincent-du-Lorouër,872,872
Sainte-Cérotte,322,322
Sainte-Jamme-sur-Sarthe,2083,2083
Sainte-Sabine-sur-Longève,781,781
Saosnes,216,216
Sarcé,303,303
Sargé-lès-le-Mans,3749,3749
Savigné-l'Évêque,4081,4081
Savigné-sous-le-Lude,442,442
Sceaux-sur-Huisne,581,581
Ségrie,612,612
Semur-en-Vallon,456,456
Sillé-le-Guillaume,2391,2391
Sillé-le-Philippe,1092,1092
Solesmes,1236,1236
Sougé-le-Ganelon,919,919
Souillé,699,699
Souligné-Flacé,694,694
Souligné-sous-Ballon,1223,1223
Soulitré,643,643
Souvigné-sur-Même,181,181
Souvigné-sur-Sarthe,641,641
Spay,2938,2938
Surfonds,346,346
La Suze-sur-Sarthe,4519,4519
Tassé,319,319
Tassillé,135,135
Teillé,482,482
Teloché,3136,3136
Tennie,1077,1077
Terrehault,135,135
Théligny,218,218
Thoigné,168,168
Thoiré-sous-Contensor,92,92
Thoiré-sur-Dinan,444,444
Thorée-les-Pins,735,735
Thorigné-sur-Dué,1642,1642
Torcé-en-Vallée,1420,1420
Trangé,1445,1445
Tresson,474,474
Le Tronchet,164,164
Tuffé Val de la Chéronne,1690,1690
Vaas,1530,1530
Val d'Étangson,533,533
Valennes,322,322
Vallon-sur-Gée,816,816
Vancé,330,330
Verneil-le-Chétif,721,721
Vernie,340,340
Vezot,77,77
Vibraye,2609,2609
Villaines-la-Carelle,157,157
Villaines-la-Gonais,574,574
Villaines-sous-Lucé,732,732
Villaines-sous-Malicorne,1037,1037
Villeneuve-en-Perseigne,2238,2238
Vion,1481,1481
Viré-en-Champagne,206,206
Vivoin,970,970
Voivres-lès-le-Mans,1388,1388
Volnay,930,930
Vouvray-sur-Huisne,132,132
Yvré-l'Évêque,4361,4361
Yvré-le-Pôlin,1792,1792
Aiguebelette-le-Lac,244,244
Aillon-le-Jeune,450,450
Aillon-le-Vieux,183,183
Aime-la-Plagne,4554,4554
Aiton,1689,1689
Aix-les-Bains,30373,30373
Albertville,19453,19453
Albiez-le-Jeune,148,148
Albiez-Montrond,387,387
Allondaz,277,277
Les Allues,1884,1884
Apremont,1034,1034
Arbin,798,798
Argentine,977,977
Arith,453,453
Arvillard,869,869
Attignat-Oncin,553,553
Aussois,701,701
Les Avanchers-Valmorel,806,806
Avressieux,533,533
Avrieux,402,402
Ayn,381,381
La Balme,323,323
Barberaz,4843,4843
Barby,3453,3453
Bassens,4587,4587
La Bâthie,2236,2236
La Bauche,510,510
Beaufort,2131,2131
Bellecombe-en-Bauges,686,686
Les Belleville,3611,3611
Belmont-Tramonet,574,574
Bessans,361,361
Betton-Bettonet,321,321
Billième,275,275
La Biolle,2610,2610
Bonneval-sur-Arc,269,269
Bonvillard,368,368
Bonvillaret,143,143
Bourdeau,575,575
Bourg-Saint-Maurice,7702,7702
Le Bourget-du-Lac,4964,4964
Bourget-en-Huile,153,153
Bourgneuf,692,692
Bozel,1898,1898
Brides-les-Bains,518,518
La Bridoire,1291,1291
Brison-Saint-Innocent,2202,2202
Césarches,442,442
Cevins,758,758
Challes-les-Eaux,5864,5864
Chambéry,60481,60481
La Chambre,1187,1187
Chamousset,608,608
Chamoux-sur-Gelon,958,958
Champ-Laurent,38,38
Champagneux,696,696
Champagny-en-Vanoise,601,601
Chanaz,523,523
La Chapelle,335,335
La Chapelle-Blanche,576,576
La Chapelle-du-Mont-du-Chat,261,261
La Chapelle-Saint-Martin,154,154
Les Chapelles,570,570
Châteauneuf,910,910
Le Châtelard,714,714
La Chavanne,719,719
Les Chavannes-en-Maurienne,249,249
Chignin,890,890
Chindrieux,1382,1382
Cléry,416,416
Cognin,6381,6381
Cohennoz,169,169
Coise-Saint-Jean-Pied-Gauthier,1264,1264
La Compôte,263,263
Conjux,202,202
Corbel,161,161
Courchevel,2420,2420
Crest-Voland,355,355
La Croix-de-la-Rochette,373,373
Cruet,1057,1057
Curienne,703,703
Les Déserts,817,817
Détrier,431,431
Domessin,1896,1896
Doucy-en-Bauges,98,98
Drumettaz-Clarafond,2886,2886
Dullin,449,449
Les Échelles,1239,1239
École,297,297
Entrelacs,6399,6399
Entremont-le-Vieux,657,657
Épierre,769,769
Esserts-Blay,823,823
Feissons-sur-Salins,185,185
Flumet,839,839
Fontcouverte-la-Toussuire,524,524
Fourneaux,685,685
Freney,106,106
Fréterive,593,593
Frontenex,1939,1939
Gerbaix,416,416
La Giettaz,419,419
Gilly-sur-Isère,3089,3089
Grand-Aigueblanche,3962,3962
Grésy-sur-Aix,4646,4646
Grésy-sur-Isère,1273,1273
Grignon,2157,2157
Hautecour,320,320
Hauteluce,777,777
Hauteville,360,360
Jacob-Bellecombette,4061,4061
Jarrier,516,516
Jarsy,279,279
Jongieux,301,301
Laissaud,685,685
Landry,845,845
La Léchère,2641,2641
Lépin-le-Lac,460,460
Lescheraines,779,779
Loisieux,205,205
Lucey,329,329
Marcieux,195,195
Marthod,1398,1398
Mercury,3174,3174
Méry,1841,1841
Meyrieux-Trouet,317,317
Modane,3235,3235
Les Mollettes,828,828
Montagnole,909,909
Montagny,687,687
Montailleur,702,702
Montcel,1059,1059
Montendry,60,60
Montgilbert,124,124
Monthion,561,561
Montmélian,4200,4200
Montricher-Albanne,481,481
Montsapey,63,63
Montvalezan,707,707
Montvernier,239,239
La Motte-en-Bauges,509,509
La Motte-Servolex,12390,12390
Motz,443,443
Moûtiers,3958,3958
Mouxy,2284,2284
Myans,1269,1269
Nances,500,500
Notre-Dame-de-Bellecombe,493,493
Notre-Dame-des-Millières,1054,1054
Notre-Dame-du-Cruet,229,229
Notre-Dame-du-Pré,254,254
Novalaise,2131,2131
Le Noyer,219,219
Ontex,108,108
Orelle,361,361
Pallud,799,799
Peisey-Nancroix,667,667
La Plagne Tarentaise,3734,3734
Planaise,552,552
Planay,440,440
Plancherine,449,449
Le Pont-de-Beauvoisin,2106,2106
Le Pontet,127,127
Porte-de-Savoie,3765,3765
Pralognan-la-Vanoise,747,747
Presle,430,430
Pugny-Chatenod,991,991
Puygros,390,390
Queige,831,831
La Ravoire,9045,9045
Rochefort,242,242
Rognaix,486,486
Rotherens,370,370
Ruffieux,853,853
Saint-Alban-d'Hurtières,366,366
Saint-Alban-de-Montbel,659,659
Saint-Alban-des-Villards,103,103
Saint-Alban-Leysse,6213,6213
Saint-André,463,463
Saint-Avre,878,878
Saint-Baldoph,2902,2902
Saint-Béron,1692,1692
Saint-Cassin,860,860
Saint-Christophe,544,544
Saint-Colomban-des-Villards,136,136
Saint-Étienne-de-Cuines,1218,1218
Saint-Franc,183,183
Saint-François-de-Sales,154,154
Saint François Longchamp,523,523
Saint-Genix-les-Villages,3009,3009
Saint-Georges-d'Hurtières,342,342
Saint-Jean-d'Arves,275,275
Saint-Jean-d'Arvey,1753,1753
Saint-Jean-de-Chevelu,830,830
Saint-Jean-de-Couz,299,299
Saint-Jean-de-la-Porte,1013,1013
Saint-Jean-de-Maurienne,8146,8146
Saint-Jeoire-Prieuré,1745,1745
Saint-Julien-Mont-Denis,1663,1663
Saint-Léger,229,229
Saint-Marcel,615,615
Saint-Martin-d'Arc,366,366
Saint-Martin-de-la-Porte,697,697
Saint-Martin-sur-la-Chambre,566,566
Saint-Michel-de-Maurienne,2731,2731
Saint-Nicolas-la-Chapelle,484,484
Saint-Offenge,1125,1125
Saint-Ours,695,695
Saint-Pancrace,301,301
Saint-Paul,698,698
Saint-Paul-sur-Isère,590,590
Saint-Pierre-d'Albigny,4038,4038
Saint-Pierre-d'Alvey,301,301
Saint-Pierre-d'Entremont,472,472
Saint-Pierre-de-Belleville,175,175
Saint-Pierre-de-Curtille,496,496
Saint-Pierre-de-Genebroz,343,343
Saint-Pierre-de-Soucy,457,457
Saint-Rémy-de-Maurienne,1275,1275
Saint-Sorlin-d'Arves,339,339
Saint-Sulpice,779,779
Saint-Thibaud-de-Couz,1080,1080
Saint-Vital,707,707
Sainte-Foy-Tarentaise,783,783
Sainte-Hélène-du-Lac,799,799
Sainte-Hélène-sur-Isère,1203,1203
Sainte-Marie-d'Alvey,119,119
Sainte-Marie-de-Cuines,823,823
Sainte-Reine,165,165
Salins-Fontaine,1030,1030
Séez,2429,2429
Serrières-en-Chautagne,1230,1230
Sonnaz,1893,1893
La Table,456,456
Thénésol,317,317
Thoiry,468,468
La Thuile,337,337
Tignes,2241,2241
La Tour-en-Maurienne,1104,1104
Tournon,631,631
Tours-en-Savoie,970,970
Traize,324,324
Tresserve,3119,3119
Trévignin,796,796
La Trinité,347,347
Ugine,7332,7332
Val-Cenis,2126,2126
Val-d'Arc,2041,2041
Val-d'Isère,1582,1582
Valgelon-La Rochette,4215,4215
Valloire,1110,1110
Valmeinier,518,518
Venthon,641,641
Verel-de-Montbel,309,309
Verel-Pragondran,488,488
Le Verneil,103,103
Verrens-Arvey,930,930
Verthemex,230,230
Villard-d'Héry,276,276
Villard-Léger,481,481
Villard-Sallet,295,295
Villard-sur-Doron,740,740
Villarembert,256,256
Villargondran,887,887
Villarodin-Bourget,540,540
Villaroger,381,381
Villaroux,212,212
Vimines,2066,2066
Vions,409,409
Viviers-du-Lac,2279,2279
Voglans,1933,1933
Yenne,3012,3012
Abondance,1555,1555
Alby-sur-Chéran,2633,2633
Alex,1105,1105
Allèves,419,419
Allinges,4577,4577
Allonzier-la-Caille,2099,2099
Amancy,2719,2719
Ambilly,6470,6470
Andilly,919,919
Annecy,130175,130175
Annemasse,36105,36105
Anthy-sur-Léman,2260,2260
Arâches-la-Frasse,1956,1956
Arbusigny,1138,1138
Archamps,2592,2592
Arenthon,1785,1785
Argonay,3275,3275
Armoy,1349,1349
Arthaz-Pont-Notre-Dame,1607,1607
Ayse,2204,2204
Ballaison,1490,1490
La Balme-de-Sillingy,5199,5199
La Balme-de-Thuy,467,467
Bassy,427,427
La Baume,311,311
Beaumont,2905,2905
Bellevaux,1334,1334
Bernex,1380,1380
Le Biot,586,586
Bloye,634,634
Bluffy,403,403
Boëge,1822,1822
Bogève,1137,1137
Bonne,3364,3364
Bonnevaux,284,284
Bonneville,13010,13010
Bons-en-Chablais,5736,5736
Bossey,1032,1032
Le Bouchet-Mont-Charvin,245,245
Boussy,517,517
Brenthonne,1057,1057
Brizon,487,487
Burdignin,643,643
Cercier,689,689
Cernex,1026,1026
Cervens,1226,1226
Chainaz-les-Frasses,755,755
Challonges,549,549
Chamonix-Mont-Blanc,8996,8996
Champanges,1043,1043
Chapeiry,843,843
La Chapelle-d'Abondance,928,928
La Chapelle-Rambaud,262,262
La Chapelle-Saint-Maurice,119,119
Charvonnex,1381,1381
Châtel,1287,1287
Châtillon-sur-Cluses,1291,1291
Chaumont,506,506
Chavannaz,238,238
Chavanod,2810,2810
Chêne-en-Semine,504,504
Chênex,837,837
Chens-sur-Léman,2810,2810
Chessenaz,221,221
Chevaline,210,210
Chevenoz,618,618
Chevrier,551,551
Chilly,1403,1403
Choisy,1633,1633
Clarafond-Arcine,1059,1059
Les Clefs,665,665
Clermont,415,415
La Clusaz,1789,1789
Cluses,17454,17454
Collonges-sous-Salève,4096,4096
Combloux,2219,2219
Contamine-Sarzin,717,717
Contamine-sur-Arve,2232,2232
Les Contamines-Montjoie,1216,1216
Copponex,1176,1176
Cordon,999,999
Cornier,1352,1352
La Côte-d'Arbroz,341,341
Cranves-Sales,6960,6960
Crempigny-Bonneguête,318,318
Cruseilles,4722,4722
Cusy,1905,1905
Cuvat,1439,1439
Demi-Quartier,942,942
Desingy,822,822
Dingy-en-Vuache,703,703
Dingy-Saint-Clair,1474,1474
Domancy,2186,2186
Doussard,3679,3679
Douvaine,6019,6019
Draillant,889,889
Droisy,164,164
Duingt,992,992
Éloise,882,882
Entrevernes,217,217
Epagny Metz-Tessy,8013,8013
Essert-Romand,519,519
Etaux,2047,2047
Étercy,833,833
Étrembières,2478,2478
Évian-les-Bains,9355,9355
Excenevex,1120,1120
Faucigny,644,644
Faverges-Seythenex,7856,7856
Feigères,1715,1715
Fessy,949,949
Féternes,1461,1461
Fillière,9488,9488
Fillinges,3499,3499
La Forclaz,237,237
Franclens,576,576
Frangy,2159,2159
Gaillard,10731,10731
Les Gets,1266,1266
Giez,549,549
Glières-Val-de-Borne,1831,1831
Le Grand-Bornand,2167,2167
Groisy,3769,3769
Gruffy,1631,1631
Habère-Lullin,1040,1040
Habère-Poche,1490,1490
Hauteville-sur-Fier,982,982
Héry-sur-Alby,1006,1006
Les Houches,3020,3020
Jonzier-Épagny,818,818
Juvigny,653,653
Larringes,1467,1467
Lathuile,1041,1041
Leschaux,281,281
Loisin,1579,1579
Lornay,570,570
Lovagny,1329,1329
Lucinges,1690,1690
Lugrin,2485,2485
Lullin,820,820
Lully,714,714
Lyaud,1764,1764
Machilly,1106,1106
Magland,3347,3347
Manigod,1026,1026
Marcellaz,1036,1036
Marcellaz-Albanais,1947,1947
Margencel,2222,2222
Marignier,6617,6617
Marigny-Saint-Marcel,694,694
Marin,1840,1840
Marlioz,1024,1024
Marnaz,5637,5637
Massingy,894,894
Massongy,1527,1527
Maxilly-sur-Léman,1448,1448
Megève,3164,3164
Mégevette,605,605
Meillerie,322,322
Menthon-Saint-Bernard,1959,1959
Menthonnex-en-Bornes,1095,1095
Menthonnex-sous-Clermont,728,728
Mésigny,770,770
Messery,2181,2181
Mieussy,2399,2399
Minzier,1042,1042
Monnetier-Mornex,2329,2329
Mont-Saxonnex,1718,1718
Montagny-les-Lanches,725,725
Montriond,929,929
Morillon,676,676
Morzine,2860,2860
Moye,1056,1056
La Muraz,1074,1074
Mûres,806,806
Musièges,423,423
Nancy-sur-Cluses,475,475
Nangy,1653,1653
Nâves-Parmelan,1007,1007
Nernier,387,387
Neuvecelle,3140,3140
Neydens,1959,1959
Nonglard,661,661
Novel,48,48
Onnion,1322,1322
Orcier,998,998
Passy,11319,11319
Peillonnex,1442,1442
Perrignier,1882,1882
Pers-Jussy,3142,3142
Poisy,8481,8481
Praz-sur-Arly,1264,1264
Présilly,979,979
Publier,7356,7356
Quintal,1289,1289
Reignier-Ésery,8203,8203
Le Reposoir,544,544
Reyvroz,518,518
La Rivière-Enverse,475,475
La Roche-sur-Foron,11683,11683
Rumilly,15741,15741
Saint-André-de-Boëge,558,558
Saint-Blaise,362,362
Saint-Cergues,3685,3685
Saint-Eusèbe,560,560
Saint-Eustache,539,539
Saint-Félix,2450,2450
Saint-Ferréol,889,889
Saint-Germain-sur-Rhône,539,539
Saint-Gervais-les-Bains,5702,5702
Saint-Gingolph,844,844
Saint-Jean-d'Aulps,1464,1464
Saint-Jean-de-Sixt,1485,1485
Saint-Jean-de-Tholome,1019,1019
Saint-Jeoire,3397,3397
Saint-Jorioz,5927,5927
Saint-Julien-en-Genevois,14476,14476
Saint-Laurent,858,858
Saint-Paul-en-Chablais,2490,2490
Saint-Pierre-en-Faucigny,6704,6704
Saint-Sigismond,621,621
Saint-Sixt,1053,1053
Saint-Sylvestre,623,623
Sales,2027,2027
Sallanches,16603,16603
Sallenôves,723,723
Samoëns,2519,2519
