Nom de la commune,Populationtotal,Population_string,Premier_chiffre
Missy-aux-Bois,100,100,1
Missy-lès-Pierrepont,109,109,1
Missy-sur-Aisne,658,658,6
Molain,153,153,1
Molinchart,337,337,3
Monampteuil,138,138,1
Monceau-le-Neuf-et-Faucouzy,328,328,3
Monceau-le-Waast,226,226,2
Monceau-lès-Leups,480,480,4
Monceau-sur-Oise,130,130,1
Mondrepuis,1055,1055,1
Monnes,104,104,1
Mons-en-Laonnois,1180,1180,1
Mont-d'Origny,851,851,8
Mont-Notre-Dame,743,743,7
Mont-Saint-Jean,77,77,7
Mont-Saint-Martin,76,76,7
Mont-Saint-Père,714,714,7
Montaigu,771,771,7
Montbavin,46,46,4
Montbrehain,829,829,8
Montchâlons,86,86,8
Montcornet,1347,1347,1
Montescourt-Lizerolles,1679,1679,1
Montfaucon,208,208,2
Montgobert,199,199,1
Montgru-Saint-Hilaire,33,33,3
Monthenault,158,158,1
Monthiers,165,165,1
Monthurel,153,153,1
Montigny-en-Arrouaise,295,295,2
Montigny-l'Allier,279,279,2
Montigny-le-Franc,144,144,1
Montigny-Lengrain,718,718,7
Montigny-lès-Condé,65,65,6
Montigny-sous-Marle,64,64,6
Montigny-sur-Crécy,320,320,3
Montlevon,304,304,3
Montloué,191,191,1
Montreuil-aux-Lions,1383,1383,1
Morcourt,588,588,5
Morgny-en-Thiérache,92,92,9
Morsain,453,453,4
Mortefontaine,238,238,2
Mortiers,188,188,1
Moulins,77,77,7
Moussy-Verneuil,124,124,1
Moÿ-de-l'Aisne,993,993,9
Muret-et-Crouttes,127,127,1
Muscourt,53,53,5
Nampcelles-la-Cour,122,122,1
Nampteuil-sous-Muret,104,104,1
Nanteuil-la-Fosse,194,194,1
Nanteuil-Notre-Dame,62,62,6
Nauroy,712,712,7
Nesles-la-Montagne,1265,1265,1
Neufchâtel-sur-Aisne,430,430,4
Neuflieux,93,93,9
Neuilly-Saint-Front,2112,2112,2
Neuve-Maison,625,625,6
La Neuville-Bosmont,189,189,1
La Neuville-en-Beine,200,200,2
La Neuville-Housset,69,69,6
La Neuville-lès-Dorengt,386,386,3
Neuville-Saint-Amand,862,862,8
Neuville-sur-Ailette,107,107,1
Neuville-sur-Margival,117,117,1
Neuvillette,195,195,1
Nizy-le-Comte,248,248,2
Nogent-l'Artaud,2214,2214,2
Nogentel,1035,1035,1
Noircourt,81,81,8
Noroy-sur-Ourcq,130,130,1
Le Nouvion-en-Thiérache,2630,2630,2
Nouvion-et-Catillon,478,478,4
